suite	count	threads	batch	mode	inproc_sleep_ms	recv_sleep_ms	recv_verify	n_total	n_ok	n_fail	wall_ms_q25	wall_ms_median	wall_ms_q75	throughput_tx_s_q25	throughput_tx_s_median	throughput_tx_s_q75	sum_build_ms_q25	sum_build_ms_median	sum_build_ms_q75	sum_pack_ms_q25	sum_pack_ms_median	sum_pack_ms_q75	sum_submit_ack_ms_q25	sum_submit_ack_ms_median	sum_submit_ack_ms_q75	sum_inproc_ms_q25	sum_inproc_ms_median	sum_inproc_ms_q75	bench_oneway_ms_q25	bench_oneway_ms_median	bench_oneway_ms_q75	submitted_q25	submitted_median	submitted_q75	batches_q25	batches_median	batches_q75	host	nproc
standard	1024	2	16	zmq	NA	0	0	3	3	0	358.196412	417.073975	15397.731934	1244.190714	2455.199946	2938.150458	662.459228	777.067627	800.432251	0.580444	0.616943	0.648926	49.520752	49.808838	15182.182373	0.000000	0.000000	0.000000	0.311201	0.311201	0.311201	1016.000000	1024.000000	1024.000000	64.000000	64.000000	64.000000	Ada	12
standard	1024	2	16	zmq	NA	0	1	3	3	0	398.700439	542.539062	567.380981	1808.250198	1887.421701	2952.642620	481.301880	510.023926	514.741944	0.472657	0.492188	0.522339	292.993042	534.198975	587.565918	0.000000	0.000000	0.000000				1024.000000	1024.000000	1024.000000	64.000000	64.000000	64.000000	Ada	12
standard	1024	2	32	inproc	0	NA	NA	3	3	0	270.865478	280.449951	394.187012	2833.662365	3651.275373	3785.213731	536.307495	555.482178	783.239380	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005371	0.005859	0.007812				1024.000000	1024.000000	1024.000000	32.000000	32.000000	32.000000	Ada	12
standard	1024	2	32	zmq	NA	0	0	3	3	0	317.651367	372.496826	607.597901	1982.079998	2749.016711	3322.714176	485.958863	497.768799	590.814209	0.346558	0.379639	0.413940	26.937378	27.277344	615.082642	0.000000	0.000000	0.000000				1024.000000	1024.000000	1024.000000	32.000000	32.000000	32.000000	Ada	12
standard	1024	2	32	zmq	NA	0	1	3	3	0	248.635987	285.468018	440.382447	2653.620994	3587.091852	4210.875668	386.446045	391.289551	481.197022	0.307861	0.325195	0.349731	101.418579	177.468750	382.078491	0.000000	0.000000	0.000000				1024.000000	1024.000000	1024.000000	32.000000	32.000000	32.000000	Ada	12
standard	1024	2	64	inproc	0	NA	NA	3	3	0	273.410523	319.206055	464.443603	2443.762819	3207.959201	3853.392082	538.684082	626.758301	913.587524	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002930	0.004883	0.006470				1024.000000	1024.000000	1024.000000	16.000000	16.000000	16.000000	Ada	12
standard	1024	2	64	zmq	NA	0	0	3	3	0	478.920044	633.610107	697.329101	1480.824347	1616.135835	2387.193941	617.625367	617.843506	719.607056	0.323974	0.345215	0.359131	197.471801	378.887939	622.352051	0.000000	0.000000	0.000000				1024.000000	1024.000000	1024.000000	16.000000	16.000000	16.000000	Ada	12
standard	1024	2	64	zmq	NA	0	1	3	3	0	548.511474	731.664062	758.123046	1352.351460	1399.549400	2101.136535	766.352051	824.803711	941.305298	0.364136	0.370850	0.405274	183.764649	353.264404	526.933471	0.000000	0.000000	0.000000				1024.000000	1024.000000	1024.000000	16.000000	16.000000	16.000000	Ada	12
standard	1024	2	8	inproc	0	NA	NA	3	3	0	401.225464	460.906006	544.228515	1926.725474	2221.711123	2609.926305	800.821045	920.114746	1084.769287	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.036255	0.037109	0.042969				1024.000000	1024.000000	1024.000000	128.000000	128.000000	128.000000	Ada	12
standard	1024	2	8	zmq	NA	0	0	3	3	0	443.906006	600.462158	615.965088	1663.485623	1705.353095	2634.476655	517.585938	556.110596	559.277344	0.618774	0.632568	0.661133	338.490601	584.805420	630.301514	0.000000	0.000000	0.000000				1024.000000	1024.000000	1024.000000	128.000000	128.000000	128.000000	Ada	12
standard	1024	2	8	zmq	NA	0	1	3	3	0	472.248535	646.576904	665.000488	1541.031305	1583.724988	2510.443706	510.660644	524.909424	694.753906	0.651245	0.657959	0.850586	258.504638	422.734863	628.965087	0.000000	0.000000	0.000000				1024.000000	1024.000000	1024.000000	128.000000	128.000000	128.000000	Ada	12
standard	1024	4	128	inproc	0	NA	NA	3	3	0	214.152588	228.830078	294.106079	3662.135684	4474.936199	4804.204529	815.224610	887.376221	1111.837891	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001465	0.001953	0.001953				1024.000000	1024.000000	1024.000000	8.000000	8.000000	8.000000	Ada	12
standard	1024	4	128	zmq	NA	0	0	3	3	0	182.785034	241.007080	255.662964	4018.478485	4248.837834	6234.789156	527.738525	604.266846	662.606933	0.303345	0.365967	0.374146	106.585938	205.743896	234.471313	0.000000	0.000000	0.000000				1024.000000	1024.000000	1024.000000	8.000000	8.000000	8.000000	Ada	12
standard	1024	4	128	zmq	NA	0	1	3	3	0	121.034546	122.037109	126.577148	8100.348932	8390.890322	8460.974978	434.379151	434.746826	459.875610	0.237305	0.245361	0.322144	6.916992	7.385254	7.622437	0.000000	0.000000	0.000000				1024.000000	1024.000000	1024.000000	8.000000	8.000000	8.000000	Ada	12
standard	1024	4	16	inproc	0	NA	NA	3	3	0	198.491089	198.501953	205.575927	4987.033018	5158.639418	5158.921788	770.846191	774.195068	809.091796	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.014770	0.016357	0.019531				1024.000000	1024.000000	1024.000000	64.000000	64.000000	64.000000	Ada	12
standard	1024	4	16	zmq	NA	0	0	3	3	0	156.324829	157.881836	165.198974	6210.770348	6485.863266	6551.112833	569.014283	580.076172	604.052490	0.485474	0.518799	0.548951	44.990234	45.166748	45.739990	0.000000	0.000000	0.000000				1024.000000	1024.000000	1024.000000	64.000000	64.000000	64.000000	Ada	12
standard	1024	4	16	zmq	NA	0	1	3	3	0	251.348511	273.093994	280.568969	3652.318928	3749.624752	4104.748131	936.784790	1019.547607	1025.096801	0.697754	0.800049	0.825439	50.268677	57.562256	58.117920	0.000000	0.000000	0.000000				1024.000000	1024.000000	1024.000000	64.000000	64.000000	64.000000	Ada	12
standard	1024	4	32	inproc	0	NA	NA	3	3	0	422.468017	432.129883	441.076905	2322.546248	2369.657922	2425.120553	1594.276978	1656.796143	1692.199585	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.016602	0.017822	0.019409				1024.000000	1024.000000	1024.000000	32.000000	32.000000	32.000000	Ada	12
standard	1024	4	32	zmq	NA	0	0	3	3	0	195.041015	218.501953	224.348388	4567.431401	4686.456965	5327.257897	721.815063	827.021729	833.017456	0.537231	0.568604	0.623536	27.923339	30.212646	30.828613	0.000000	0.000000	0.000000				1024.000000	1024.000000	1024.000000	32.000000	32.000000	32.000000	Ada	12
standard	1024	4	32	zmq	NA	0	1	3	3	0	150.408448	160.208008	170.506592	6027.622586	6391.690490	6837.151367	542.406128	583.379883	616.093017	0.368286	0.383301	0.385987	24.225098	24.991943	24.995849	0.000000	0.000000	0.000000				1024.000000	1024.000000	1024.000000	32.000000	32.000000	32.000000	Ada	12
standard	1024	4	64	inproc	0	NA	NA	3	3	0	212.444580	236.675049	268.022583	3873.561202	4326.607325	4883.609788	799.995849	875.440674	990.102539	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005981	0.006104	0.008179				1024.000000	1024.000000	1024.000000	16.000000	16.000000	16.000000	Ada	12
standard	1024	4	64	zmq	NA	0	0	3	3	0	164.259887	188.992920	268.655517	4179.016871	5418.192387	6378.640657	595.735596	683.075195	775.704467	0.290527	0.327881	0.384400	12.027954	12.627197	218.671753	0.000000	0.000000	0.000000				1024.000000	1024.000000	1024.000000	16.000000	16.000000	16.000000	Ada	12
standard	1024	4	64	zmq	NA	0	1	3	3	0	165.367553	172.437988	191.222900	5407.187867	5938.366657	6203.607320	617.287597	654.466797	722.154908	0.307129	0.320557	0.368286	13.059204	13.499756	14.432740	0.000000	0.000000	0.000000				1024.000000	1024.000000	1024.000000	16.000000	16.000000	16.000000	Ada	12
standard	1024	4	8	inproc	0	NA	NA	3	3	0	183.130005	183.482910	220.116455	4784.608359	5580.901236	5591.676817	718.552002	723.903320	862.368042	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.017701	0.018555	0.032226				1024.000000	1024.000000	1024.000000	128.000000	128.000000	128.000000	Ada	12
standard	1024	4	8	zmq	NA	0	0	3	3	0	214.479492	229.104004	965.714478	2535.558033	4469.585789	4796.650492	701.035034	704.273926	760.215454	0.683593	0.720947	0.764404	82.116577	86.213379	3084.141113	0.000000	0.000000	0.000000				1024.000000	1024.000000	1024.000000	128.000000	128.000000	128.000000	Ada	12
standard	1024	4	8	zmq	NA	0	1	3	3	0	219.177979	231.006104	1027.560547	2497.075714	4432.783309	4685.648282	665.335571	713.024902	769.217774	0.683472	0.686279	0.744629	84.591553	85.178223	3377.458496	0.000000	0.000000	0.000000				1024.000000	1024.000000	1024.000000	128.000000	128.000000	128.000000	Ada	12
